#D	f_hom	f_d	f_dM
0.37273949557353 0.118274010692355 0.0751974248239798 0.0936569161972475
0.369357374496554 0.11814353604197 0.0747131570049814 0.0928122783876599
0.36717519309292 0.111371542344096 0.0719256790314275 0.0896532149947233
0.374590007624075 0.115309312534357 0.0740576369926188 0.0929265315941245
0.341402890867578 0.104225242497783 0.0653543057705055 0.0826430065793599
0.349345568975846 0.107749131300045 0.0675571068640405 0.0851952241315254
0.345920493790802 0.107559820904793 0.067072894878268 0.084379954092505
0.343509265604541 0.101267604895161 0.0645161495603205 0.0813893353429807
0.350191060317523 0.104743724031114 0.0663415774307866 0.0842653418142106
0.373545637175955 0.118647891493766 0.0759202481163943 0.0942591873499619
0.380901149736665 0.122221376512012 0.0782028287658851 0.0968017394348554
0.377424114947987 0.122065415184078 0.0776887061584982 0.0959356020945555
0.375319197860391 0.115097724303597 0.0747951417517725 0.0926783034933017
0.382904233703287 0.119201781086306 0.0770407345794952 0.0960809561898422
0.276594553484178 0.0780467084549085 0.0475164760411582 0.0578856117078777
0.286005053163471 0.0815467162794612 0.049634947250615 0.060266860622303
0.283296749702891 0.0814859956894082 0.0493245619047743 0.0598045402388871
0.2795084859956 0.0762267355740279 0.0471785124794572 0.0573167577841283
0.284874416247323 0.0786826040612414 0.0483941664707186 0.0591108224190364
0.369593626276594 0.116681955852034 0.0744510519261216 0.0928381031358193
0.376935346700211 0.120216821159217 0.0766995123010229 0.0953639208133385
0.373509647894404 0.120067296546746 0.0761977532378455 0.0945025330321967
0.371346883763095 0.113196439856656 0.0733552391384394 0.0912884916737583
0.378846184421923 0.117222758162527 0.0755475012669308 0.0946431215638963
0.310848845763888 0.0912405257046994 0.0564106316858331 0.0696114937367237
0.31966014883611 0.0947827193792652 0.0585937330865847 0.0720831762803957
0.316673201322414 0.0947032490008219 0.0582244956441327 0.0714927837248212
0.313477085746445 0.0888879993983109 0.055854329957061 0.0687637620772828
0.319656814658734 0.0918819393443514 0.057388660065125 0.0710755159823816
0.375761320535521 0.119254575436405 0.0761680734584672 0.0946273468186167
0.383152506187163 0.122857456185161 0.0784614755675555 0.0972011157857556
0.37960216040619 0.122652806535484 0.0779116483033676 0.0962853671710977
0.377606309218029 0.115703898144381 0.0750474446024242 0.093044829439392
0.385278742105521 0.119826442037119 0.07729940805697 0.0964792013785221
0.372898953818821 0.115963049860537 0.0731164934853422 0.0911650921334866
0.380464616305301 0.119557007756503 0.0753736543259646 0.0937062609400613
0.376849088259177 0.119359054547833 0.074840707732223 0.092839557708839
0.374757690742716 0.112554458573011 0.0720919248972854 0.0896919872646943
0.382199604017751 0.116471197852545 0.0741848918764911 0.0929007927779881
0.358498129694067 0.111600675622395 0.0707228884334769 0.0888317120773388
0.366185015224335 0.115150998862371 0.0729666305431874 0.0914037467170006
0.362763853427689 0.114984020014052 0.0724692162894577 0.090554779064533
0.360467007990633 0.108345152760802 0.0697437794890601 0.0874151654616184
0.367739429529257 0.112161552487456 0.071796317320503 0.0906015770064683
0.31296340061372 0.0920200036566264 0.0569666124101232 0.0701770460154266
0.321576197077468 0.0955205939223697 0.0591266006619924 0.0726070843252916
0.318642454464254 0.0954602488892789 0.058766897722638 0.0720390436330799
0.315533799592618 0.0896275005597687 0.0563900660361631 0.0693009465115604
0.321712344927266 0.0926380048917558 0.057936609413659 0.0716225464974153
0.276964713042438 0.0782366741574412 0.0475701483042545 0.0579226727053092
0.286397106645078 0.0817291053054656 0.0496875304867326 0.0602951011951296
0.283463121302992 0.0816029955951892 0.0493329582376593 0.0597824997484954
0.279845869222109 0.0763778826040915 0.0472131800221199 0.057344084372952
0.285077988105815 0.0788264425721841 0.0484226684451259 0.0591150071605359
0.361841838097885 0.112717003282477 0.0712672495779127 0.0893850359286181
0.36936289790367 0.116241947993863 0.0734885830190481 0.0919057624157057
0.366048754482411 0.116113709013566 0.0730102179592236 0.09108560660709
0.363748242854833 0.109417987640804 0.0702731980397875 0.087920210305414
0.371124658865557 0.11327740061635 0.072343252633369 0.0911370840817249
0.352438129524664 0.105566479727359 0.065368655640712 0.0797871963059989
0.360427748172853 0.109060220633897 0.0675196801052386 0.0821436283705081
0.357400627127488 0.109077299985566 0.0671598929344693 0.0815652927782273
0.355020288337102 0.102754575211857 0.064670320231381 0.0787184841762393
0.3620015492233 0.106195534906283 0.0664364255490134 0.0813561983955194
0.361232964717144 0.110524574171947 0.0691927790930475 0.0869207470101396
0.368993203348776 0.11407596108087 0.071405619342702 0.0894472912110521
0.365463900176072 0.113896718657742 0.0709033005203304 0.0886224528043611
0.363274275433136 0.10734860026347 0.0682796087640115 0.085563589588516
0.370440957964007 0.111032139685119 0.0702202979535048 0.0885815672667012
0.399170432064532 0.128445740389585 0.0823827040820003 0.101295923441842
0.406180900624627 0.132061536711918 0.0846912799605669 0.103825472244651
0.402539461306503 0.13187735806111 0.0841218173096347 0.102892176501783
0.400759858858832 0.124506814541917 0.0810894958303189 0.0995395020501685
0.409047629644723 0.129016827861756 0.0835867085679831 0.103251871781054
0.355105505974383 0.110146326956186 0.0696491058724 0.087541269551754
0.362736455049217 0.113653728340721 0.0718604526047923 0.0900782313431862
0.359403285740409 0.113508374736778 0.0713805959846428 0.0892452369751404
0.357060367738264 0.106930291170271 0.0686835082669238 0.0861369624065677
0.364316140828662 0.110710555629611 0.0707139267862243 0.0892801587798898
0.387200015844292 0.122477597682407 0.077864359081235 0.0966932636664243
0.394459310930789 0.126062130523002 0.0801354229685471 0.099240327025156
0.390847843935292 0.125884582577533 0.0795868764887556 0.0983345817064461
0.38901731015215 0.118825381148805 0.0767250896850925 0.095097620773365
0.39698927405855 0.123042753916114 0.0790203259216645 0.0985826169289942
0.329946619399328 0.0991917913783275 0.0618097834840353 0.0783299963246004
0.33813126954204 0.102686802624995 0.063980402292984 0.0808682201469081
0.334853443715057 0.10253137132349 0.0635336802865082 0.0801220176748954
0.332166643958111 0.0964328911896824 0.0610607138408733 0.0771934731564979
0.338637474254596 0.0997160023647596 0.062765858860828 0.0798804980369811
0.363879685023423 0.114021661770389 0.0725888027594375 0.0909512456765635
0.371390139803854 0.117573378143526 0.0748414373619464 0.0935138176126734
0.367942467323632 0.117393388484862 0.0743279672298291 0.0926448697767836
0.365709672824829 0.110644403604098 0.0715421778904939 0.089448791123987
0.373103365721739 0.114570841575154 0.0736700938695892 0.0927329560975033
0.36596208720564 0.115091770895552 0.0732470911462774 0.0914791355801694
0.373441526910697 0.118644296355736 0.0755029860724347 0.0940332456391255
0.369926108604596 0.118456771249646 0.0749798778522712 0.093141503717965
0.367837113044747 0.111700265678314 0.0722016439119198 0.0899863330992694
0.375243489775984 0.115647295592072 0.0743416708352857 0.0932730331464038
0.275300875767223 0.0774292205835601 0.0470790273612735 0.057280434932365
0.284855044194082 0.0809590483503167 0.0492130596084269 0.0596755484638133
0.282198291222484 0.0809141146794898 0.0489142770936848 0.0592404035735305
0.278277687142198 0.0756466774561981 0.0467594805738256 0.0567430164153039
0.283660288637008 0.0780934871655185 0.047970288369817 0.0585210189580244
0.346735055264141 0.106495706554754 0.0670754679155332 0.0844278430831978
0.354628531941743 0.110033549281869 0.0692957017999925 0.0869709015175977
