NW_006803924.1	17429815	963	0.982347	0.0176532
NW_006803925.1	16010500	808	0.97401	0.0259901
NW_006803926.1	15122350	841	0.976219	0.0237812
NW_006803927.1	14913330	805	0.967081	0.0329193
NW_006803928.1	13702985	686	0.977405	0.0225948
NW_006803929.1	12956524	601	0.980865	0.0191348
NW_006803930.1	11971544	668	0.982036	0.0179641
NW_006803935.1	11102409	453	0.971302	0.0286976
NW_006803931.1	11097759	621	0.984702	0.0152979
NW_006803932.1	10989404	634	0.966877	0.033123
NW_006803933.1	10948230	577	0.961872	0.0381282
NW_006803937.1	10789300	516	0.979651	0.0203488
NW_006803934.1	10562902	596	0.979866	0.0201342
NW_006803936.1	10558949	547	0.973492	0.0265082
NW_006803938.1	10322312	458	0.972707	0.0272926
NW_006803942.1	10305630	472	0.975636	0.0243644
NW_006803939.1	10083227	536	0.982276	0.0177239
NW_006803941.1	9862362	518	0.984556	0.015444
NW_006803940.1	9481570	554	0.984657	0.015343
NW_006803945.1	9212618	406	0.974138	0.0258621
NW_006803943.1	9131536	471	0.971338	0.0286624
NW_006803944.1	9016915	454	0.982379	0.0176211
NW_006803947.1	8999101	445	0.982022	0.0179775
NW_006803949.1	8923204	385	0.972727	0.0272727
NW_006803950.1	8532063	462	0.978355	0.021645
NW_006803953.1	8517879	377	0.982759	0.0172414
NW_006803951.1	8467515	446	0.985426	0.014574
NW_006803952.1	8426713	60	0.966667	0.0333333
NW_006803946.1	8387762	469	0.973348	0.0266525
NW_006803948.1	8382565	500	0.984	0.016
NW_006803954.1	8129069	335	0.967164	0.0328358
NW_006803960.1	7987419	345	0.978261	0.0217391
NW_006803955.1	7968758	387	0.96124	0.0387597
NW_006803958.1	7956577	390	0.975641	0.024359
NW_006803956.1	7734095	388	0.993557	0.0064433
NW_006803957.1	7729394	388	0.98067	0.0193299
NW_006803971.1	7433912	260	0.978846	0.0211538
NW_006803959.1	7429010	352	0.960227	0.0397727
