NW_006803924.1	17429815	963	0.934579	0.0654206
NW_006803925.1	16010500	808	0.945545	0.0544554
NW_006803926.1	15122350	841	0.945303	0.0546968
NW_006803927.1	14913330	805	0.937888	0.0621118
NW_006803928.1	13702985	686	0.927843	0.0721574
NW_006803929.1	12956524	601	0.949251	0.0507488
NW_006803930.1	11971544	668	0.927395	0.0726048
NW_006803935.1	11102409	453	0.930464	0.0695364
NW_006803931.1	11097759	621	0.908213	0.0917874
NW_006803932.1	10989404	634	0.942429	0.057571
NW_006803933.1	10948230	577	0.890815	0.109185
NW_006803937.1	10789300	516	0.96124	0.0387597
NW_006803934.1	10562902	596	0.913591	0.0864094
NW_006803936.1	10558949	547	0.95521	0.0447898
NW_006803938.1	10322312	458	0.94869	0.05131
NW_006803942.1	10305630	472	0.944915	0.0550847
NW_006803939.1	10083227	536	0.900187	0.0998134
NW_006803941.1	9862362	518	0.946911	0.0530888
NW_006803940.1	9481570	554	0.90343	0.0965704
NW_006803945.1	9212618	406	0.963054	0.0369458
NW_006803943.1	9131536	471	0.916136	0.0838641
NW_006803944.1	9016915	454	0.955947	0.0440529
NW_006803947.1	8999101	445	0.880899	0.119101
NW_006803949.1	8923204	385	0.933766	0.0662338
NW_006803950.1	8532063	462	0.94697	0.0530303
NW_006803953.1	8517879	377	0.920424	0.0795756
NW_006803951.1	8467515	446	0.952915	0.0470852
NW_006803952.1	8426713	60	0.941667	0.0583333
NW_006803946.1	8387762	469	0.952026	0.0479744
NW_006803948.1	8382565	500	0.944	0.056
NW_006803954.1	8129069	335	0.873134	0.126866
NW_006803960.1	7987419	345	0.969565	0.0304348
NW_006803955.1	7968758	387	0.950904	0.0490956
NW_006803958.1	7956577	390	0.935897	0.0641026
NW_006803956.1	7734095	388	0.907216	0.0927835
NW_006803957.1	7729394	388	0.940722	0.0592784
NW_006803971.1	7433912	260	0.944231	0.0557692
NW_006803959.1	7429010	352	0.860795	0.139205
NW_006803969.1	7231121	359	0.91922	0.0807799
NW_006803977.1	7218056	266	0.954887	0.0451128
NW_006803961.1	7159678	391	0.976982	0.0230179
NW_006803966.1	7124368	355	0.919718	0.0802817
NW_006803974.1	7059049	269	0.95539	0.0446097
