Reading input files
Number of loci: 4298
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -24022
mcmc iteration: 1000 ........ LnL: -23298.8
mcmc iteration: 2000 ........ LnL: -23490.6
mcmc iteration: 3000 ........ LnL: -23488.4
mcmc iteration: 4000 ........ LnL: -23488.8
mcmc iteration: 5000 ........ LnL: -23432.4
mcmc iteration: 6000 ........ LnL: -23426
mcmc iteration: 7000 ........ LnL: -23447.8
mcmc iteration: 8000 ........ LnL: -23441.4
mcmc iteration: 9000 ........ LnL: -23345.9
mcmc iteration: 10000 ........ LnL: -23345.8
mcmc iteration: 11000 ........ LnL: -23418.9
mcmc iteration: 12000 ........ LnL: -23291.1
mcmc iteration: 13000 ........ LnL: -23383.1
mcmc iteration: 14000 ........ LnL: -23455.8
mcmc iteration: 15000 ........ LnL: -23334.8
mcmc iteration: 16000 ........ LnL: -23379.8
mcmc iteration: 17000 ........ LnL: -23320
mcmc iteration: 18000 ........ LnL: -23332.9
mcmc iteration: 19000 ........ LnL: -23494.1
mcmc iteration: 20000 ........ LnL: -23355.2
mcmc iteration: 21000 ........ LnL: -23359.1
mcmc iteration: 22000 ........ LnL: -23503.1
mcmc iteration: 23000 ........ LnL: -23302.7
mcmc iteration: 24000 ........ LnL: -23348
mcmc iteration: 25000 ........ LnL: -23500.4
mcmc iteration: 26000 ........ LnL: -23458.5
mcmc iteration: 27000 ........ LnL: -23304.5
mcmc iteration: 28000 ........ LnL: -23318.3
mcmc iteration: 29000 ........ LnL: -23464.7
mcmc iteration: 30000 ........ LnL: -23314.6
mcmc iteration: 31000 ........ LnL: -23365.3
mcmc iteration: 32000 ........ LnL: -23392.3
mcmc iteration: 33000 ........ LnL: -23425.6
mcmc iteration: 34000 ........ LnL: -23294.5
mcmc iteration: 35000 ........ LnL: -23458.5
mcmc iteration: 36000 ........ LnL: -23334.4
mcmc iteration: 37000 ........ LnL: -23401.6
mcmc iteration: 38000 ........ LnL: -23367.6
mcmc iteration: 39000 ........ LnL: -23240.7
mcmc iteration: 40000 ........ LnL: -23368.8
mcmc iteration: 41000 ........ LnL: -23335
mcmc iteration: 42000 ........ LnL: -23444
mcmc iteration: 43000 ........ LnL: -23358.5
mcmc iteration: 44000 ........ LnL: -23413.9
mcmc iteration: 45000 ........ LnL: -23389.1
mcmc iteration: 46000 ........ LnL: -23400.2
mcmc iteration: 47000 ........ LnL: -23403.4
mcmc iteration: 48000 ........ LnL: -23240.3
mcmc iteration: 49000 ........ LnL: -23263.8
mcmc iteration: 50000 ........ LnL: -23285.6
mcmc iteration: 51000 ........ LnL: -23372.3
mcmc iteration: 52000 ........ LnL: -23411.4
mcmc iteration: 53000 ........ LnL: -23490
mcmc iteration: 54000 ........ LnL: -23416.2
mcmc iteration: 55000 ........ LnL: -23458.8
mcmc iteration: 56000 ........ LnL: -23438
mcmc iteration: 57000 ........ LnL: -23514.8
