Reading input files
Number of loci: 4298
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -24265.6
mcmc iteration: 1000 ........ LnL: -23303.1
mcmc iteration: 2000 ........ LnL: -23385.2
mcmc iteration: 3000 ........ LnL: -23365.8
mcmc iteration: 4000 ........ LnL: -23436.6
mcmc iteration: 5000 ........ LnL: -23381.5
mcmc iteration: 6000 ........ LnL: -23319.2
mcmc iteration: 7000 ........ LnL: -23380.7
mcmc iteration: 8000 ........ LnL: -23410.2
mcmc iteration: 9000 ........ LnL: -23328
mcmc iteration: 10000 ........ LnL: -23523.3
mcmc iteration: 11000 ........ LnL: -23416.6
mcmc iteration: 12000 ........ LnL: -23432.5
mcmc iteration: 13000 ........ LnL: -23404.7
mcmc iteration: 14000 ........ LnL: -23413.3
mcmc iteration: 15000 ........ LnL: -23421.6
mcmc iteration: 16000 ........ LnL: -23365.1
mcmc iteration: 17000 ........ LnL: -23365.1
mcmc iteration: 18000 ........ LnL: -23495.9
mcmc iteration: 19000 ........ LnL: -23517.6
mcmc iteration: 20000 ........ LnL: -23358.1
mcmc iteration: 21000 ........ LnL: -23395.1
mcmc iteration: 22000 ........ LnL: -23444.9
mcmc iteration: 23000 ........ LnL: -23386.4
mcmc iteration: 24000 ........ LnL: -23517.7
mcmc iteration: 25000 ........ LnL: -23439.7
mcmc iteration: 26000 ........ LnL: -23267.4
mcmc iteration: 27000 ........ LnL: -23397.9
mcmc iteration: 28000 ........ LnL: -23323.2
mcmc iteration: 29000 ........ LnL: -23469.8
mcmc iteration: 30000 ........ LnL: -23375.1
mcmc iteration: 31000 ........ LnL: -23336.8
mcmc iteration: 32000 ........ LnL: -23312.1
mcmc iteration: 33000 ........ LnL: -23395.7
mcmc iteration: 34000 ........ LnL: -23403.6
mcmc iteration: 35000 ........ LnL: -23383.5
mcmc iteration: 36000 ........ LnL: -23339
mcmc iteration: 37000 ........ LnL: -23329.9
mcmc iteration: 38000 ........ LnL: -23360.9
mcmc iteration: 39000 ........ LnL: -23479.4
mcmc iteration: 40000 ........ LnL: -23317.2
mcmc iteration: 41000 ........ LnL: -23529.8
mcmc iteration: 42000 ........ LnL: -23383.3
mcmc iteration: 43000 ........ LnL: -23401.2
mcmc iteration: 44000 ........ LnL: -23378.1
mcmc iteration: 45000 ........ LnL: -23380.3
mcmc iteration: 46000 ........ LnL: -23448.7
mcmc iteration: 47000 ........ LnL: -23347.7
mcmc iteration: 48000 ........ LnL: -23428.7
mcmc iteration: 49000 ........ LnL: -23354.9
mcmc iteration: 50000 ........ LnL: -23486
mcmc iteration: 51000 ........ LnL: -23338.1
mcmc iteration: 52000 ........ LnL: -23386.7
mcmc iteration: 53000 ........ LnL: -23408.6
mcmc iteration: 54000 ........ LnL: -23303.8
mcmc iteration: 55000 ........ LnL: -23307.5
mcmc iteration: 56000 ........ LnL: -23408.1
