Reading input files
Number of loci: 4298
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
mcmc iteration: 57000 ........ LnL: -23452
mcmc iteration: 58000 ........ LnL: -23412.1
mcmc iteration: 59000 ........ LnL: -23241.2
mcmc iteration: 60000 ........ LnL: -23348.1
mcmc iteration: 61000 ........ LnL: -23428.7
mcmc iteration: 62000 ........ LnL: -23407.9
mcmc iteration: 63000 ........ LnL: -23298.1
mcmc iteration: 64000 ........ LnL: -23488.4
mcmc iteration: 65000 ........ LnL: -23530.8
mcmc iteration: 66000 ........ LnL: -23524.2
mcmc iteration: 67000 ........ LnL: -23308.1
mcmc iteration: 68000 ........ LnL: -23389.6
mcmc iteration: 69000 ........ LnL: -23427.1
mcmc iteration: 70000 ........ LnL: -23384.2
mcmc iteration: 71000 ........ LnL: -23404.2
mcmc iteration: 72000 ........ LnL: -23375.6
mcmc iteration: 73000 ........ LnL: -23379.7
mcmc iteration: 74000 ........ LnL: -23416.6
mcmc iteration: 75000 ........ LnL: -23389.8
mcmc iteration: 76000 ........ LnL: -23344.2
mcmc iteration: 77000 ........ LnL: -23393.8
mcmc iteration: 78000 ........ LnL: -23389.2
mcmc iteration: 79000 ........ LnL: -23287.3
mcmc iteration: 80000 ........ LnL: -23403.8
mcmc iteration: 81000 ........ LnL: -23316.8
mcmc iteration: 82000 ........ LnL: -23417.8
mcmc iteration: 83000 ........ LnL: -23347.3
mcmc iteration: 84000 ........ LnL: -23438.3
mcmc iteration: 85000 ........ LnL: -23361.5
mcmc iteration: 86000 ........ LnL: -23294.8
mcmc iteration: 87000 ........ LnL: -23347.7
mcmc iteration: 88000 ........ LnL: -23485.3
mcmc iteration: 89000 ........ LnL: -23343.7
mcmc iteration: 90000 ........ LnL: -23358.4
mcmc iteration: 91000 ........ LnL: -23341.3
mcmc iteration: 92000 ........ LnL: -23430.6
mcmc iteration: 93000 ........ LnL: -23412.2
mcmc iteration: 94000 ........ LnL: -23397.9
mcmc iteration: 95000 ........ LnL: -23382.6
mcmc iteration: 96000 ........ LnL: -23403.7
mcmc iteration: 97000 ........ LnL: -23278.6
mcmc iteration: 98000 ........ LnL: -23418.8
mcmc iteration: 99000 ........ LnL: -23294.1
mcmc iteration: 100000 ........ LnL: -23377.8
mcmc iteration: 101000 ........ LnL: -23501.6
mcmc iteration: 102000 ........ LnL: -23369.4
mcmc iteration: 103000 ........ LnL: -23227.1
mcmc iteration: 104000 ........ LnL: -23322.2
mcmc iteration: 105000 ........ LnL: -23366.4
mcmc iteration: 106000 ........ LnL: -23330.1
mcmc iteration: 107000 ........ LnL: -23370.7
mcmc iteration: 108000 ........ LnL: -23362.8
mcmc iteration: 109000 ........ LnL: -23448.6
mcmc iteration: 110000 ........ LnL: -23346.8
mcmc iteration: 111000 ........ LnL: -23385.6
mcmc iteration: 112000 ........ LnL: -23461.4
mcmc iteration: 113000 ........ LnL: -23469.8
mcmc iteration: 114000 ........ LnL: -23395
mcmc iteration: 115000 ........ LnL: -23413.6
mcmc iteration: 116000 ........ LnL: -23385.2
mcmc iteration: 117000 ........ LnL: -23431.8
mcmc iteration: 118000 ........ LnL: -23392.7
mcmc iteration: 119000 ........ LnL: -23311
mcmc iteration: 120000 ........ LnL: -23437.6
mcmc iteration: 121000 ........ LnL: -23384.4
mcmc iteration: 122000 ........ LnL: -23305
mcmc iteration: 123000 ........ LnL: -23400.8
mcmc iteration: 124000 ........ LnL: -23429.1
mcmc iteration: 125000 ........ LnL: -23419.4
mcmc iteration: 126000 ........ LnL: -23438.1
mcmc iteration: 127000 ........ LnL: -23272.7
mcmc iteration: 128000 ........ LnL: -23250.9
mcmc iteration: 129000 ........ LnL: -23357.9
mcmc iteration: 130000 ........ LnL: -23442.7
mcmc iteration: 131000 ........ LnL: -23450.6
mcmc iteration: 132000 ........ LnL: -23430.6
mcmc iteration: 133000 ........ LnL: -23333.1
mcmc iteration: 134000 ........ LnL: -23408.3
mcmc iteration: 135000 ........ LnL: -23414.3
mcmc iteration: 136000 ........ LnL: -23349.9
mcmc iteration: 137000 ........ LnL: -23471.4
mcmc iteration: 138000 ........ LnL: -23398.1
mcmc iteration: 139000 ........ LnL: -23325.2
mcmc iteration: 140000 ........ LnL: -23465.6
mcmc iteration: 141000 ........ LnL: -23365.1
mcmc iteration: 142000 ........ LnL: -23355
mcmc iteration: 143000 ........ LnL: -23261.6
mcmc iteration: 144000 ........ LnL: -23310.7
mcmc iteration: 145000 ........ LnL: -23478.4
mcmc iteration: 146000 ........ LnL: -23311.8
mcmc iteration: 147000 ........ LnL: -23415.5
mcmc iteration: 148000 ........ LnL: -23407.8
mcmc iteration: 149000 ........ LnL: -23485
Finished mcmc
Runtime: 10 hr 7 min 7 sec
