#Num.Samples	Num.Sites	Accumulated
44	5	5
43	33	38
42	188	226
41	763	989
40	2067	3056
39	4682	7738
38	8099	15837
37	12603	28440
36	17219	45659
35	21783	67442
34	26158	93600
33	29189	122789
32	31331	154120
31	32602	186722
30	32899	219621
29	32510	252131
28	31715	283846
27	30660	314506
26	29110	343616
25	27818	371434
24	26545	397979
23	24778	422757
22	23091	445848
21	21805	467653
20	20253	487906
19	18831	506737
18	17890	524627
17	16548	541175
16	15321	556496
15	14565	571061
14	13911	584972
13	13423	598395
12	12625	611020
11	11325	622345
10	9931	632276
9	8428	640704
8	6949	647653
7	5505	653158
6	4042	657200
5	2721	659921
4	1519	661440
3	732	662172
2	312	662484
1	157	662641
0	14	662655
