#Num.Samples	Num.Sites	Accumulated
38	1	1
37	25	26
36	88	114
35	259	373
34	615	988
33	1337	2325
32	2433	4758
31	3767	8525
30	5384	13909
29	7615	21524
28	9873	31397
27	12407	43804
26	15078	58882
25	17432	76314
24	19820	96134
23	22154	118288
22	24353	142641
21	25752	168393
20	27602	195995
19	28818	224813
18	29173	253986
17	29801	283787
16	30099	313886
15	29996	343882
14	29502	373384
13	28931	402315
12	28666	430981
11	27933	458914
10	26915	485829
9	26224	512053
8	24715	536768
7	22893	559661
6	21694	581355
5	19806	601161
4	17467	618628
3	15712	634340
2	13181	647521
1	10084	657605
0	5050	662655
