Coverage	Frequency	Reads
371	1771	93057027
372	1727	93699471
373	1668	94321635
374	1798	94994087
375	1747	95649212
376	1687	96283524
377	1680	96916884
378	1666	97546632
379	1699	98190553
380	1751	98855933
381	1737	99517730
382	1733	100179736
383	1673	100820495
384	1693	101470607
385	1703	102126262
386	1715	102788252
387	1707	103448861
388	1671	104097209
389	1865	104822694
390	1721	105493884
391	1730	106170314
392	1690	106832794
393	1669	107488711
394	1738	108173483
395	1751	108865128
396	1674	109528032
397	1713	110208093
398	1687	110879519
399	1700	111557819
400	1700	112237819
401	1730	112931549
402	1673	113604095
403	1759	114312972
404	1740	115015932
405	1662	115689042
406	1708	116382490
407	1718	117081716
408	1645	117752876
409	1685	118442041
410	1658	119121821
411	1762	119846003
412	1694	120543931
413	1700	121246031
414	1657	121932029
415	1665	122623004
416	1591	123284860
417	1658	123976246
418	1654	124667618
419	1702	125380756
420	1613	126058216
421	1610	126736026
422	1619	127419244
423	1697	128137075
424	1617	128822683
425	1641	129520108
426	1600	130201708
427	1641	130902415
428	1576	131576943
429	1646	132283077
430	1655	132994727
431	1679	133718376
432	1627	134421240
433	1553	135093689
434	1545	135764219
435	1609	136464134
436	1642	137180046
437	1577	137869195
438	1615	138576565
439	1572	139266673
440	1647	139991353
441	1613	140702686
442	1588	141404582
443	1620	142122242
444	1569	142818878
445	1555	143510853
446	1514	144186097
447	1571	144888334
448	1518	145568398
449	1504	146243694
450	1521	146928144
451	1582	147641626
452	1529	148332734
453	1453	148990943
454	1515	149678753
455	1514	150367623
456	1515	151058463
457	1491	151739850
458	1491	152422728
459	1458	153091950
460	1474	153769990
461	1489	154456419
462	1480	155140179
463	1497	155833290
464	1531	156543674
465	1502	157242104
466	1502	157942036
467	1448	158618252
468	1468	159305276
469	1444	159982512
470	1362	160622652
471	1437	161299479
472	1449	161983407
473	1409	162649864
474	1447	163335742
475	1353	163978417
476	1481	164683373
477	1408	165354989
478	1325	165988339
479	1389	166653670
480	1367	167309830
481	1354	167961104
482	1342	168607948
483	1354	169261930
484	1338	169909522
485	1334	170556512
486	1349	171212126
487	1273	171832077
488	1330	172481117
489	1322	173127575
490	1318	173773395
491	1266	174395001
492	1303	175036077
493	1304	175678949
494	1286	176314233
495	1285	176950308
496	1320	177605028
497	1299	178250631
498	1274	178885083
499	1248	179507835
500	1197	180106335
501	1266	180740601
502	1227	181356555
503	1270	181995365
504	1247	182623853
505	1249	183254598
506	1227	183875460
507	1189	184478283
508	1176	185075691
509	1213	185693108
510	1160	186284708
511	1131	186862649
512	1165	187459129
513	1121	188034202
514	1165	188633012
515	1189	189245347
516	1119	189822751
517	1168	190426607
518	1090	190991227
519	1153	191589634
520	1165	192195434
521	1116	192776870
522	1104	193353158
523	1112	193934734
524	1098	194510086
525	1112	195093886
526	1103	195674064
527	1028	196215820
528	1043	196766524
529	1044	197318800
530	1012	197855160
531	1013	198393063
532	987	198918147
533	992	199446883
534	991	199976077
535	1079	200553342
536	1021	201100598
537	991	201632765
538	960	202149245
539	1008	202692557
540	968	203215277
541	933	203720030
542	978	204250106
543	991	204788219
544	963	205312091
545	956	205833111
546	939	206345805
547	1032	206910309
548	933	207421593
549	965	207951378
550	908	208450778
551	913	208953841
552	924	209463889
553	917	209970990
554	869	210452416
555	899	210951361
556	897	211450093
557	838	211916859
558	890	212413479
559	837	212881362
560	855	213360162
561	836	213829158
562	856	214310230
563	789	214754437
564	806	215209021
565	761	215638986
566	799	216091220
567	811	216551057
568	761	216983305
569	782	217428263
570	761	217862033
571	798	218317691
572	785	218766711
573	749	219195888
574	754	219628684
575	739	220053609
576	773	220498857
577	721	220914874
578	747	221346640
579	717	221761783
580	706	222171263
581	725	222592488
582	724	223013856
583	674	223406798
584	658	223791070
585	674	224185360
586	660	224572120
587	633	224943691
588	709	225360583
589	645	225740488
590	650	226123988
591	640	226502228
592	634	226877556
593	688	227285540
594	582	227631248
595	574	227972778
596	605	228333358
597	581	228680215
598	630	229056955
599	577	229402578
600	585	229753578
601	575	230099153
602	558	230435069
603	563	230774558
604	526	231092262
605	605	231458287
606	586	231813403
607	537	232139362
608	493	232439106
609	535	232764921
610	513	233077851
611	546	233411457
612	503	233719293
613	498	234024567
614	506	234335251
615	491	234637216
616	487	234937208
617	471	235227815
618	494	235533107
619	490	235836417
620	477	236132157
621	478	236428995
622	407	236682149
623	445	236959384
624	417	237219592
625	448	237499592
626	401	237750618
627	422	238015212
628	418	238277716
629	446	238558250
630	455	238844900
631	403	239099193
632	382	239340617
633	372	239576093
634	397	239827791
635	397	240079886
636	338	240294854
637	400	240549654
638	379	240791456
639	376	241031720
640	360	241262120
641	380	241505700
642	364	241739388
643	349	241963795
644	341	242183399
645	335	242399474
646	343	242621052
647	356	242851384
648	347	243076240
649	307	243275483
650	320	243483483
651	291	243672924
652	303	243870480
653	300	244066380
654	336	244286124
655	288	244474764
656	309	244677468
657	260	244848288
658	287	245037134
659	271	245215723
660	273	245395903
661	291	245588254
662	270	245766994
663	253	245934733
664	255	246104053
665	226	246254343
666	239	246413517
667	235	246570262
668	235	246727242
669	256	246898506
670	232	247053946
671	241	247215657
672	240	247376937
673	234	247534419
674	207	247673937
675	198	247807587
676	231	247963743
677	212	248107267
678	228	248261851
679	225	248414626
680	196	248547906
681	209	248690235
682	200	248826635
683	202	248964601
684	180	249087721
685	198	249223351
686	179	249346145
687	195	249480110
688	180	249603950
689	200	249741750
690	177	249863880
691	195	249998625
692	174	250119033
693	161	250230606
694	157	250339564
695	178	250463274
696	162	250576026
697	161	250688243
698	158	250798527
699	154	250906173
700	166	251022373
701	131	251114204
702	174	251236352
703	161	251349535
704	158	251460767
705	138	251558057
706	149	251663251
707	126	251752333
708	134	251847205
709	133	251941502
710	141	252041612
711	148	252146840
712	127	252237264
713	117	252320685
714	102	252393513
715	126	252483603
716	122	252570955
717	122	252658429
718	122	252746025
719	94	252813611
720	113	252894971
721	105	252970676
722	105	253046486
723	87	253109387
724	105	253185407
725	109	253264432
726	86	253326868
727	116	253411200
728	101	253484728
729	103	253559815
730	101	253633545
731	88	253697873
732	88	253762289
733	82	253822395
734	72	253875243
735	90	253941393
736	98	254013521
737	79	254071744
738	71	254124142
739	80	254183262
740	72	254236542
741	74	254291376
742	87	254355930
743	78	254413884
744	89	254480100
745	72	254533740
746	82	254594912
747	67	254644961
748	79	254704053
749	62	254750491
750	63	254797741
751	67	254848058
752	61	254893930
753	65	254942875
754	54	254983591
755	66	255033421
756	62	255080293
757	65	255129498
758	66	255179526
759	47	255215199
760	60	255260799
761	40	255291239
762	52	255330863
763	62	255378169
764	51	255417133
765	52	255456913
766	46	255492149
767	58	255536635
768	51	255575803
769	48	255612715
770	57	255656605
771	45	255691300
772	45	255726040
773	38	255755414
774	49	255793340
775	46	255828990
776	47	255865462
777	50	255904312
778	47	255940878
779	43	255974375
780	43	256007915
781	27	256029002
782	35	256056372
783	32	256081428
784	39	256112004
785	29	256134769
786	37	256163851
787	27	256185100
788	37	256214256
789	42	256247394
790	41	256279784
791	43	256313797
792	33	256339933
793	22	256357379
794	29	256380405
795	27	256401870
796	20	256417790
797	16	256430542
798	29	256453684
799	30	256477654
800	30	256501654
801	30	256525684
802	18	256540120
803	26	256560998
804	20	256577078
805	31	256602033
806	20	256618153
807	24	256637521
808	28	256660145
809	18	256674707
810	26	256695767
811	28	256718475
812	15	256730655
813	23	256749354
814	17	256763192
815	31	256788457
816	14	256799881
817	22	256817855
818	22	256835851
819	26	256857145
820	17	256871085
821	15	256883400
822	14	256894908
823	16	256908076
824	18	256922908
825	12	256932808
826	22	256950980
827	23	256970001
828	15	256982421
829	13	256993198
830	20	257009798
831	8	257016446
832	9	257023934
833	24	257043926
834	12	257053934
835	8	257060614
836	20	257077334
837	14	257089052
838	20	257105812
839	15	257118397
840	10	257126797
841	15	257139412
842	17	257153726
843	9	257161313
844	20	257178193
845	8	257184953
846	15	257197643
847	15	257210348
848	7	257216284
849	11	257225623
850	11	257234973
851	14	257246887
852	10	257255407
853	13	257266496
854	12	257276744
855	12	257287004
856	12	257297276
857	11	257306703
858	10	257315283
859	8	257322155
860	6	257327315
861	7	257333342
862	10	257341962
863	5	257346277
864	5	257350597
865	9	257358382
866	9	257366176
867	15	257379181
868	11	257388729
869	9	257396550
870	10	257405250
871	6	257410476
872	9	257418324
873	11	257427927
874	13	257439289
875	7	257445414
876	8	257452422
877	7	257458561
878	6	257463829
879	3	257466466
880	8	257473506
881	6	257478792
882	4	257482320
883	5	257486735
884	4	257490271
885	7	257496466
886	7	257502668
887	3	257505329
888	9	257513321
889	9	257521322
890	6	257526662
891	6	257532008
892	5	257536468
893	10	257545398
894	6	257550762
895	5	257555237
896	4	257558821
897	8	257565997
898	7	257572283
899	9	257580374
900	8	257587574
901	7	257593881
902	8	257601097
903	7	257607418
904	4	257611034
905	11	257620989
906	3	257623707
907	5	257628242
908	4	257631874
909	7	257638237
910	7	257644607
911	2	257646429
912	1	257647341
913	4	257650993
914	7	257657391
915	3	257660136
916	5	257664716
917	4	257668384
918	7	257674810
919	7	257681243
920	1	257682163
921	3	257684926
922	5	257689536
923	4	257693228
924	4	257696924
925	3	257699699
926	6	257705255
927	3	257708036
928	7	257714532
929	2	257716390
930	1	257717320
931	4	257721044
932	1	257721976
933	1	257722909
934	4	257726645
935	4	257730385
936	6	257736001
937	3	257738812
938	4	257742564
939	2	257744442
940	3	257747262
941	1	257748203
942	2	257750087
943	2	257751973
944	7	257758581
945	2	257760471
946	6	257766147
947	2	257768041
948	3	257770885
949	2	257772783
950	8	257780383
951	2	257782285
952	3	257785141
953	2	257787047
954	2	257788955
955	3	257791820
956	3	257794688
958	4	257798520
960	2	257800440
961	4	257804284
962	3	257807170
963	6	257812948
964	2	257814876
965	3	257817771
966	4	257821635
967	5	257826470
968	4	257830342
969	2	257832280
970	1	257833250
971	3	257836163
972	2	257838107
973	4	257841999
974	3	257844921
975	4	257848821
976	4	257852725
977	2	257854679
978	4	257858591
979	1	257859570
980	1	257860550
981	2	257862512
982	3	257865458
983	1	257866441
984	1	257867425
985	1	257868410
986	2	257870382
987	2	257872356
988	1	257873344
989	4	257877300
990	3	257880270
991	1	257881261
992	2	257883245
993	1	257884238
996	1	257885234
997	1	257886231
