#Num.Samples	Num.Sites	Accumulated
48	7	7
47	932	939
46	17943	18882
45	48943	67825
44	73675	141500
43	78910	220410
42	70036	290446
41	57214	347660
40	45783	393443
39	36435	429878
38	29628	459506
37	24135	483641
36	19966	503607
35	16918	520525
34	14265	534790
33	12301	547091
32	10530	557621
31	9245	566866
30	9064	575930
29	9082	585012
28	8189	593201
27	7220	600421
26	5949	606370
25	4789	611159
24	4125	615284
23	3594	618878
22	3262	622140
21	2642	624782
20	2031	626813
19	1965	628778
18	2516	631294
17	3063	634357
16	2720	637077
15	1619	638696
14	755	639451
13	223	639674
12	117	639791
11	62	639853
10	27	639880
9	22	639902
8	15	639917
7	11	639928
6	16	639944
5	8	639952
4	4	639956
3	8	639964
2	10	639974
1	7	639981
