#Num.Samples	Num.Sites	Accumulated
50	7	7
49	296	303
48	6635	6938
47	50363	57301
46	138347	195648
45	138086	333734
44	94890	428624
43	57234	485858
42	36418	522276
41	24937	547213
40	17651	564864
39	12649	577513
38	8923	586436
37	6438	592874
36	4681	597555
35	3473	601028
34	2628	603656
33	2061	605717
32	2000	607717
31	2814	610531
30	4065	614596
29	3435	618031
28	2520	620551
27	1483	622034
26	1144	623178
25	1301	624479
24	1849	626328
23	2017	628345
22	1595	629940
21	1124	631064
20	1210	632274
19	2218	634492
18	2596	637088
17	1762	638850
16	767	639617
15	227	639844
14	65	639909
13	28	639937
12	14	639951
11	8	639959
10	4	639963
8	1	639964
7	2	639966
6	4	639970
5	3	639973
4	2	639975
3	1	639976
2	5	639981
