#Num.Samples	Num.Sites	Accumulated
47	82	82
46	3887	3969
45	16531	20500
44	36015	56515
43	53202	109717
42	60994	170711
41	59681	230392
40	53263	283655
39	45830	329485
38	38759	368244
37	32606	400850
36	27886	428736
35	23901	452637
34	20708	473345
33	18114	491459
32	15806	507265
31	13946	521211
30	12620	533831
29	12050	545881
28	11082	556963
27	10359	567322
26	9407	576729
25	8444	585173
24	7446	592619
23	6925	599544
22	6567	606111
21	6080	612191
20	5247	617438
19	4411	621849
18	3892	625741
17	3962	629703
16	3819	633522
15	2930	636452
14	1803	638255
13	821	639076
12	360	639436
11	196	639632
10	110	639742
9	62	639804
8	52	639856
7	48	639904
6	18	639922
5	13	639935
4	11	639946
3	8	639954
2	16	639970
1	9	639979
0	2	639981
