#Num.Samples	Num.Sites	Accumulated
46	6	6
45	104	110
44	650	760
43	2369	3129
42	6428	9557
41	12717	22274
40	19722	41996
39	26709	68705
38	31795	100500
37	34598	135098
36	34924	170022
35	34635	204657
34	32884	237541
33	30684	268225
32	28320	296545
31	26497	323042
30	24573	347615
29	22977	370592
28	21287	391879
27	20453	412332
26	19335	431667
25	17878	449545
24	16959	466504
23	15993	482497
22	14997	497494
21	13961	511455
20	13494	524949
19	12596	537545
18	11924	549469
17	11498	560967
16	11063	572030
15	11000	583030
14	11193	594223
13	10453	604676
12	9157	613833
11	7509	621342
10	5885	627227
9	4529	631756
8	3483	635239
7	2275	637514
6	1268	638782
5	615	639397
4	306	639703
3	148	639851
2	77	639928
1	38	639966
0	15	639981
