#Num.Samples	Num.Sites	Accumulated
49	3	3
48	309	312
47	8283	8595
46	59936	68531
45	101722	170253
44	104229	274482
43	81528	356010
42	59263	415273
41	42673	457946
40	32154	490100
39	24846	514946
38	19317	534263
37	15339	549602
36	12405	562007
35	10242	572249
34	8516	580765
33	7074	587839
32	5634	593473
31	4903	598376
30	5507	603883
29	5237	609120
28	4447	613567
27	3223	616790
26	2248	619038
25	1765	620803
24	1878	622681
23	2178	624859
22	2172	627031
21	1607	628638
20	1244	629882
19	1825	631707
18	2752	634459
17	2665	637124
16	1713	638837
15	700	639537
14	248	639785
13	78	639863
12	42	639905
11	21	639926
10	8	639934
9	9	639943
8	3	639946
7	7	639953
6	8	639961
5	3	639964
4	6	639970
3	3	639973
2	6	639979
1	2	639981
