#Num.Samples	Num.Sites	Accumulated
50	1362	1362
49	18798	20160
48	87353	107513
47	172626	280139
46	159682	439821
45	83963	523784
44	38258	562042
43	18641	580683
42	10498	591181
41	6095	597276
40	3728	601004
39	2499	603503
38	1944	605447
37	1744	607191
36	1712	608903
35	1786	610689
34	2011	612700
33	2578	615278
32	2968	618246
31	2760	621006
30	2075	623081
29	1544	624625
28	1146	625771
27	1325	627096
26	1399	628495
25	1600	630095
24	1568	631663
23	1184	632847
22	1188	634035
21	1401	635436
20	1622	637058
19	1529	638587
18	902	639489
17	330	639819
16	99	639918
15	25	639943
14	12	639955
13	6	639961
12	4	639965
11	5	639970
10	1	639971
8	1	639972
7	2	639974
6	1	639975
5	4	639979
4	1	639980
3	1	639981
