Coverage	Frequency	Reads
1	1194621	1194621
2	353309	1901239
3	127625	2284114
4	53560	2498354
5	26141	2629059
6	15752	2723571
7	10805	2799206
8	8625	2868206
9	7105	2932151
10	6226	2994411
11	5631	3056352
12	5208	3118848
13	4626	3178986
14	4379	3240292
15	4181	3303007
16	3885	3365167
17	3682	3427761
18	3480	3490401
19	3351	3554070
20	3124	3616550
21	2954	3678584
22	2961	3743726
23	2726	3806424
24	2628	3869496
25	2526	3932646
26	2438	3996034
27	2383	4060375
28	2225	4122675
29	2193	4186272
30	2023	4246962
31	1998	4308900
32	1867	4368644
33	1765	4426889
34	1725	4485539
35	1657	4543534
36	1567	4599946
37	1570	4658036
38	1496	4714884
39	1339	4767105
40	1238	4816625
41	1228	4866973
42	1191	4916995
43	1110	4964725
44	1057	5011233
45	966	5054703
46	967	5099185
47	878	5140451
48	782	5177987
49	739	5214198
50	710	5249698
51	685	5284633
52	594	5315521
53	593	5346950
54	559	5377136
55	568	5408376
56	519	5437440
57	467	5464059
58	445	5489869
59	429	5515180
60	372	5537500
61	393	5561473
62	373	5584599
63	338	5605893
64	342	5627781
65	322	5648711
66	298	5668379
67	293	5688010
68	276	5706778
69	308	5728030
70	265	5746580
71	252	5764472
72	253	5782688
73	241	5800281
74	256	5819225
75	232	5836625
76	253	5855853
77	231	5873640
78	245	5892750
79	219	5910051
80	232	5928611
81	240	5948051
82	221	5966173
83	235	5985678
84	204	6002814
85	214	6021004
86	228	6040612
87	231	6060709
88	220	6080069
89	214	6099115
90	269	6123325
91	229	6144164
92	226	6164956
93	222	6185602
94	219	6206188
95	234	6228418
96	227	6250210
97	239	6273393
98	233	6296227
99	240	6319987
100	242	6344187
101	227	6367114
102	206	6388126
103	238	6412640
104	231	6436664
105	223	6460079
106	251	6486685
107	280	6516645
108	245	6543105
109	240	6569265
110	248	6596545
111	267	6626182
112	264	6655750
113	266	6685808
114	249	6714194
115	270	6745244
116	267	6776216
117	295	6810731
118	268	6842355
119	264	6873771
120	276	6906891
121	268	6939319
122	244	6969087
123	316	7007955
124	300	7045155
125	258	7077405
126	243	7108023
127	285	7144218
128	277	7179674
129	294	7217600
130	306	7257380
131	298	7296418
132	265	7331398
133	281	7368771
134	304	7409507
135	325	7453382
136	329	7498126
137	295	7538541
138	309	7581183
139	265	7618018
140	328	7663938
141	322	7709340
142	346	7758472
143	300	7801372
144	350	7851772
145	349	7902377
146	358	7954645
147	364	8008153
148	296	8051961
149	315	8098896
150	336	8149296
151	334	8199730
152	397	8260074
153	365	8315919
154	365	8372129
155	355	8427154
156	342	8480506
157	340	8533886
158	360	8590766
159	354	8647052
160	365	8705452
161	381	8766793
162	358	8824789
163	340	8880209
164	381	8942693
165	359	9001928
166	424	9072312
167	404	9139780
168	378	9203284
169	383	9268011
170	418	9339071
171	401	9407642
172	380	9473002
173	373	9537531
174	420	9610611
175	394	9679561
176	435	9756121
177	413	9829222
178	386	9897930
179	407	9970783
180	401	10042963
181	468	10127671
182	416	10203383
183	445	10284818
184	430	10363938
185	440	10445338
186	436	10526434
187	429	10606657
188	437	10688813
189	419	10768004
190	441	10851794
191	449	10937553
192	460	11025873
193	443	11111372
194	458	11200224
195	488	11295384
196	467	11386916
197	490	11483446
198	472	11576902
199	508	11677994
200	495	11776994
201	495	11876489
202	507	11978903
203	492	12078779
204	477	12176087
205	527	12284122
206	505	12388152
207	506	12492894
208	518	12600638
209	518	12708900
210	517	12817470
211	508	12924658
212	505	13031718
213	584	13156110
214	552	13274238
215	556	13393778
216	470	13495298
217	571	13619205
218	541	13737143
219	536	13854527
220	573	13980587
221	526	14096833
222	573	14224039
223	575	14352264
224	558	14477256
225	567	14604831
226	538	14726419
227	584	14858987
228	589	14993279
229	603	15131366
230	600	15269366
231	586	15404732
232	622	15549036
233	561	15679749
234	589	15817575
235	592	15956695
236	591	16096171
237	587	16235290
238	605	16379280
239	651	16534869
240	587	16675749
241	627	16826856
242	592	16970120
243	592	17113976
244	631	17267940
245	657	17428905
246	680	17596185
247	604	17745373
248	691	17916741
249	661	18081330
250	656	18245330
251	677	18415257
252	658	18581073
253	724	18764245
254	684	18937981
255	617	19095316
256	693	19272724
257	681	19447741
258	668	19620085
259	700	19801385
260	676	19977145
261	676	20153581
262	689	20334099
263	684	20513991
264	670	20690871
265	687	20872926
266	671	21051412
267	741	21249259
268	740	21447579
269	744	21647715
270	801	21863985
271	714	22057479
272	726	22254951
273	740	22456971
274	738	22659183
275	759	22867908
276	754	23076012
277	745	23282377
278	801	23505055
279	822	23734393
280	749	23944113
281	741	24152334
282	805	24379344
283	702	24578010
284	768	24796122
285	783	25019277
286	745	25232347
287	789	25458790
288	808	25691494
289	782	25917492
290	817	26154422
291	808	26389550
292	809	26625778
293	783	26855197
294	763	27079519
295	804	27316699
296	792	27551131
297	791	27786058
298	849	28039060
299	837	28289323
300	842	28541923
301	824	28789947
302	785	29027017
303	826	29277295
304	927	29559103
305	798	29802493
306	840	30059533
307	845	30318948
308	875	30588448
309	844	30849244
310	845	31111194
311	887	31387051
312	854	31653499
313	883	31929878
314	844	32194894
315	882	32472724
316	861	32744800
317	864	33018688
318	913	33309022
319	864	33584638
320	894	33870718
321	926	34167964
322	902	34458408
323	896	34747816
324	928	35048488
325	884	35335788
326	929	35638642
327	903	35933923
328	875	36220923
329	899	36516694
330	921	36820624
331	918	37124482
332	884	37417970
333	941	37731323
334	926	38040607
335	944	38356847
336	878	38651855
337	935	38966950
338	945	39286360
339	931	39601969
340	966	39930409
341	957	40256746
342	934	40576174
343	937	40897565
344	959	41227461
345	927	41547276
346	959	41879090
347	940	42205270
348	983	42547354
349	989	42892515
350	992	43239715
351	998	43590013
352	974	43932861
353	984	44280213
354	1023	44642355
355	1011	45001260
356	949	45339104
357	928	45670400
358	1053	46047374
359	1014	46411400
360	975	46762400
361	1017	47129537
362	1028	47501673
363	1052	47883549
364	1062	48270117
365	966	48622707
366	977	48980289
367	1011	49351326
368	1018	49725950
369	1025	50104175
370	1004	50475655
371	1052	50865947
372	1020	51245387
373	1099	51655314
374	1020	52036794
375	1077	52440669
376	1036	52830205
377	1078	53236611
378	1015	53620281
379	1004	54000797
380	1059	54403217
381	1139	54837176
382	1097	55256230
383	1075	55667955
384	1085	56084595
385	1049	56488460
386	1005	56876390
387	1080	57294350
388	1100	57721150
389	1116	58155274
390	1079	58576084
391	1113	59011267
392	1055	59424827
393	1136	59871275
394	1102	60305463
395	1057	60722978
396	1144	61176002
397	1144	61630170
398	1127	62078716
399	1100	62517616
400	1191	62994016
401	1074	63424690
402	1126	63877342
403	1185	64354897
404	1068	64786369
405	1142	65248879
406	1175	65725929
407	1123	66182990
408	1087	66626486
409	1125	67086611
410	1179	67570001
411	1171	68051282
412	1192	68542386
413	1176	69028074
414	1160	69508314
415	1134	69978924
416	1090	70432364
417	1201	70933181
418	1194	71432273
419	1129	71905324
420	1136	72382444
421	1099	72845123
422	1146	73328735
423	1150	73815185
424	1170	74311265
425	1144	74797465
426	1137	75281827
427	1170	75781417
428	1143	76270621
429	1221	76794430
430	1164	77294950
431	1119	77777239
432	1213	78301255
433	1202	78821721
434	1214	79348597
435	1196	79868857
436	1149	80369821
437	1245	80913886
438	1157	81420652
439	1233	81961939
440	1185	82483339
441	1263	83040322
442	1180	83561882
443	1126	84060700
444	1229	84606376
445	1246	85160846
446	1260	85722806
447	1237	86275745
448	1272	86845601
449	1191	87380360
450	1285	87958610
451	1193	88496653
452	1195	89036793
453	1221	89589906
454	1236	90151050
455	1239	90714795
456	1250	91284795
457	1238	91850561
458	1241	92418939
459	1243	92989476
460	1260	93569076
