#Num.Samples	Num.Sites	Accumulated
46	2	2
45	5	7
44	98	105
43	502	607
42	1727	2334
41	4527	6861
40	8844	15705
39	13983	29688
38	19790	49478
37	24401	73879
36	28325	102204
35	30284	132488
34	30656	163144
33	30575	193719
32	29057	222776
31	28106	250882
30	26236	277118
29	24966	302084
28	23731	325815
27	22903	348718
26	21770	370488
25	20452	390940
24	19735	410675
23	18565	429240
22	17867	447107
21	17009	464116
20	16227	480343
19	15356	495699
18	14575	510274
17	14215	524489
16	13532	538021
15	13371	551392
14	13147	564539
13	13014	577553
12	12235	589788
11	11101	600889
10	9397	610286
9	7850	618136
8	6554	624690
7	5498	630188
6	4204	634392
5	2865	637257
4	1582	638839
3	732	639571
2	269	639840
1	112	639952
0	29	639981
