Reading input files
Number of loci: 2012
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -14801.9
mcmc iteration: 1000 ........ LnL: -13547.6
mcmc iteration: 2000 ........ LnL: -13528.5
mcmc iteration: 3000 ........ LnL: -13506.1
mcmc iteration: 4000 ........ LnL: -13497.2
mcmc iteration: 5000 ........ LnL: -13557.4
mcmc iteration: 6000 ........ LnL: -13516.6
mcmc iteration: 7000 ........ LnL: -13552.2
mcmc iteration: 8000 ........ LnL: -13536.2
mcmc iteration: 9000 ........ LnL: -13507.2
mcmc iteration: 10000 ........ LnL: -13543.3
mcmc iteration: 11000 ........ LnL: -13610
mcmc iteration: 12000 ........ LnL: -13567.9
mcmc iteration: 13000 ........ LnL: -13589.4
mcmc iteration: 14000 ........ LnL: -13577.6
mcmc iteration: 15000 ........ LnL: -13534.5
mcmc iteration: 16000 ........ LnL: -13510.5
mcmc iteration: 17000 ........ LnL: -13459.3
mcmc iteration: 18000 ........ LnL: -13615.3
mcmc iteration: 19000 ........ LnL: -13478.7
mcmc iteration: 20000 ........ LnL: -13516
mcmc iteration: 21000 ........ LnL: -13538.4
mcmc iteration: 22000 ........ LnL: -13479.7
mcmc iteration: 23000 ........ LnL: -13561.8
mcmc iteration: 24000 ........ LnL: -13600
mcmc iteration: 25000 ........ LnL: -13521.2
mcmc iteration: 26000 ........ LnL: -13536.4
mcmc iteration: 27000 ........ LnL: -13534.1
mcmc iteration: 28000 ........ LnL: -13602.9
mcmc iteration: 29000 ........ LnL: -13543.9
mcmc iteration: 30000 ........ LnL: -13595.6
mcmc iteration: 31000 ........ LnL: -13506.9
mcmc iteration: 32000 ........ LnL: -13536.9
mcmc iteration: 33000 ........ LnL: -13522.6
mcmc iteration: 34000 ........ LnL: -13647.9
mcmc iteration: 35000 ........ LnL: -13520.6
mcmc iteration: 36000 ........ LnL: -13517.1
mcmc iteration: 37000 ........ LnL: -13547.6
mcmc iteration: 38000 ........ LnL: -13500.5
mcmc iteration: 39000 ........ LnL: -13601.1
mcmc iteration: 40000 ........ LnL: -13578.6
mcmc iteration: 41000 ........ LnL: -13502.6
mcmc iteration: 42000 ........ LnL: -13487.5
mcmc iteration: 43000 ........ LnL: -13556.6
mcmc iteration: 44000 ........ LnL: -13556.7
mcmc iteration: 45000 ........ LnL: -13513.5
mcmc iteration: 46000 ........ LnL: -13489
mcmc iteration: 47000 ........ LnL: -13572.3
mcmc iteration: 48000 ........ LnL: -13538.9
mcmc iteration: 49000 ........ LnL: -13561.6
mcmc iteration: 50000 ........ LnL: -13523.8
mcmc iteration: 51000 ........ LnL: -13552.1
mcmc iteration: 52000 ........ LnL: -13522.3
mcmc iteration: 53000 ........ LnL: -13533.4
mcmc iteration: 54000 ........ LnL: -13543.3
mcmc iteration: 55000 ........ LnL: -13541.1
mcmc iteration: 56000 ........ LnL: -13586.5
