Reading input files
Number of loci: 2012
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 125000 ........ LnL: -13467.2
mcmc iteration: 126000 ........ LnL: -13574.2
mcmc iteration: 127000 ........ LnL: -13470.1
mcmc iteration: 128000 ........ LnL: -13606.8
mcmc iteration: 129000 ........ LnL: -13586.4
mcmc iteration: 130000 ........ LnL: -13559.1
mcmc iteration: 131000 ........ LnL: -13565.6
mcmc iteration: 132000 ........ LnL: -13579.7
mcmc iteration: 133000 ........ LnL: -13546.2
mcmc iteration: 134000 ........ LnL: -13590.7
mcmc iteration: 135000 ........ LnL: -13546.4
mcmc iteration: 136000 ........ LnL: -13554.4
mcmc iteration: 137000 ........ LnL: -13520
mcmc iteration: 138000 ........ LnL: -13573.2
mcmc iteration: 139000 ........ LnL: -13533.2
mcmc iteration: 140000 ........ LnL: -13531.6
mcmc iteration: 141000 ........ LnL: -13545.7
mcmc iteration: 142000 ........ LnL: -13556
mcmc iteration: 143000 ........ LnL: -13514.2
mcmc iteration: 144000 ........ LnL: -13455.5
mcmc iteration: 145000 ........ LnL: -13506
mcmc iteration: 146000 ........ LnL: -13521.7
mcmc iteration: 147000 ........ LnL: -13519.5
mcmc iteration: 148000 ........ LnL: -13489.6
mcmc iteration: 149000 ........ LnL: -13555.1
Finished mcmc
Runtime: 4 hr 58 min 54 sec
