Reading input files
Number of loci: 897
Number of admixed populations: 1
Number of individuals: 6
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -12045.5
mcmc iteration: 1000 ........ LnL: -10135.3
mcmc iteration: 2000 ........ LnL: -10166.7
mcmc iteration: 3000 ........ LnL: -10090.4
mcmc iteration: 4000 ........ LnL: -10124.7
mcmc iteration: 5000 ........ LnL: -10110.9
mcmc iteration: 6000 ........ LnL: -10118.1
mcmc iteration: 7000 ........ LnL: -10133.9
mcmc iteration: 8000 ........ LnL: -10120
mcmc iteration: 9000 ........ LnL: -10169
mcmc iteration: 10000 ........ LnL: -10153.6
mcmc iteration: 11000 ........ LnL: -10101.7
mcmc iteration: 12000 ........ LnL: -10127.2
mcmc iteration: 13000 ........ LnL: -10145.4
mcmc iteration: 14000 ........ LnL: -10138.2
mcmc iteration: 15000 ........ LnL: -10148.5
mcmc iteration: 16000 ........ LnL: -10102.6
mcmc iteration: 17000 ........ LnL: -10142.8
mcmc iteration: 18000 ........ LnL: -10125.6
mcmc iteration: 19000 ........ LnL: -10120.2
mcmc iteration: 20000 ........ LnL: -10135.1
mcmc iteration: 21000 ........ LnL: -10097.6
mcmc iteration: 22000 ........ LnL: -10115.8
mcmc iteration: 23000 ........ LnL: -10112.8
mcmc iteration: 24000 ........ LnL: -10136.4
mcmc iteration: 25000 ........ LnL: -10159.8
mcmc iteration: 26000 ........ LnL: -10177.7
mcmc iteration: 27000 ........ LnL: -10135.5
mcmc iteration: 28000 ........ LnL: -10125.7
mcmc iteration: 29000 ........ LnL: -10058
mcmc iteration: 30000 ........ LnL: -10126.5
mcmc iteration: 31000 ........ LnL: -10138.5
mcmc iteration: 32000 ........ LnL: -10152.3
mcmc iteration: 33000 ........ LnL: -10144.9
mcmc iteration: 34000 ........ LnL: -10120.3
mcmc iteration: 35000 ........ LnL: -10129.3
mcmc iteration: 36000 ........ LnL: -10163.1
mcmc iteration: 37000 ........ LnL: -10119.2
mcmc iteration: 38000 ........ LnL: -10135.2
mcmc iteration: 39000 ........ LnL: -10097.8
mcmc iteration: 40000 ........ LnL: -10149.9
mcmc iteration: 41000 ........ LnL: -10197.3
mcmc iteration: 42000 ........ LnL: -10214.6
mcmc iteration: 43000 ........ LnL: -10117.9
mcmc iteration: 44000 ........ LnL: -10089.8
mcmc iteration: 45000 ........ LnL: -10125.7
mcmc iteration: 46000 ........ LnL: -10126
mcmc iteration: 47000 ........ LnL: -10143.5
mcmc iteration: 48000 ........ LnL: -10124.5
mcmc iteration: 49000 ........ LnL: -10110.8
mcmc iteration: 50000 ........ LnL: -10179.3
mcmc iteration: 51000 ........ LnL: -10127.7
mcmc iteration: 52000 ........ LnL: -10114.9
mcmc iteration: 53000 ........ LnL: -10165.6
mcmc iteration: 54000 ........ LnL: -10121.1
mcmc iteration: 55000 ........ LnL: -10158.8
mcmc iteration: 56000 ........ LnL: -10117.2
