Reading input files
Number of loci: 6978
Number of admixed populations: 1
Number of individuals: 10
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 126000 ........ LnL: -64638
mcmc iteration: 127000 ........ LnL: -64962
mcmc iteration: 128000 ........ LnL: -64736.6
mcmc iteration: 129000 ........ LnL: -64675.7
mcmc iteration: 130000 ........ LnL: -64724.6
mcmc iteration: 131000 ........ LnL: -64616.9
mcmc iteration: 132000 ........ LnL: -64866.4
mcmc iteration: 133000 ........ LnL: -64694.2
mcmc iteration: 134000 ........ LnL: -64718.2
mcmc iteration: 135000 ........ LnL: -64666.1
mcmc iteration: 136000 ........ LnL: -64657.9
mcmc iteration: 137000 ........ LnL: -64903
mcmc iteration: 138000 ........ LnL: -64587
mcmc iteration: 139000 ........ LnL: -64668.4
mcmc iteration: 140000 ........ LnL: -64690.9
mcmc iteration: 141000 ........ LnL: -64727.7
mcmc iteration: 142000 ........ LnL: -64687.1
mcmc iteration: 143000 ........ LnL: -64671.1
mcmc iteration: 144000 ........ LnL: -64542.5
mcmc iteration: 145000 ........ LnL: -64624.6
mcmc iteration: 146000 ........ LnL: -64915.5
mcmc iteration: 147000 ........ LnL: -64588.1
mcmc iteration: 148000 ........ LnL: -64564.7
mcmc iteration: 149000 ........ LnL: -64808.2
mcmc iteration: 150000 ........ LnL: -64750.3
mcmc iteration: 151000 ........ LnL: -64819.6
mcmc iteration: 152000 ........ LnL: -64822.7
mcmc iteration: 153000 ........ LnL: -64657.9
mcmc iteration: 154000 ........ LnL: -64653
mcmc iteration: 155000 ........ LnL: -64879.5
mcmc iteration: 156000 ........ LnL: -64606.8
mcmc iteration: 157000 ........ LnL: -64743.5
mcmc iteration: 158000 ........ LnL: -64743.7
mcmc iteration: 159000 ........ LnL: -64664.2
mcmc iteration: 160000 ........ LnL: -64721.3
mcmc iteration: 161000 ........ LnL: -64754.3
mcmc iteration: 162000 ........ LnL: -64542.7
mcmc iteration: 163000 ........ LnL: -64752.2
mcmc iteration: 164000 ........ LnL: -64628.7
mcmc iteration: 165000 ........ LnL: -64471.7
mcmc iteration: 166000 ........ LnL: -64635.1
mcmc iteration: 167000 ........ LnL: -64697.8
mcmc iteration: 168000 ........ LnL: -64950.8
mcmc iteration: 169000 ........ LnL: -64411.9
mcmc iteration: 170000 ........ LnL: -65085.4
mcmc iteration: 171000 ........ LnL: -64492.8
mcmc iteration: 172000 ........ LnL: -64636.5
mcmc iteration: 173000 ........ LnL: -64637.5
mcmc iteration: 174000 ........ LnL: -64821.3
mcmc iteration: 175000 ........ LnL: -64644.3
mcmc iteration: 176000 ........ LnL: -64711.1
