Reading input files
Number of loci: 6978
Number of admixed populations: 1
Number of individuals: 10
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -73761.8
mcmc iteration: 1000 ........ LnL: -65043.3
mcmc iteration: 2000 ........ LnL: -64469.2
mcmc iteration: 3000 ........ LnL: -64630.6
mcmc iteration: 4000 ........ LnL: -64598
mcmc iteration: 5000 ........ LnL: -64837.4
mcmc iteration: 6000 ........ LnL: -64531.4
mcmc iteration: 7000 ........ LnL: -64795
mcmc iteration: 8000 ........ LnL: -64850.9
mcmc iteration: 9000 ........ LnL: -64562.2
mcmc iteration: 10000 ........ LnL: -64604.7
mcmc iteration: 11000 ........ LnL: -64875.3
mcmc iteration: 12000 ........ LnL: -64726.2
mcmc iteration: 13000 ........ LnL: -64665.4
mcmc iteration: 14000 ........ LnL: -64677.1
mcmc iteration: 15000 ........ LnL: -64872.7
mcmc iteration: 16000 ........ LnL: -64646.6
mcmc iteration: 17000 ........ LnL: -64712.6
mcmc iteration: 18000 ........ LnL: -64584.9
mcmc iteration: 19000 ........ LnL: -64829.4
mcmc iteration: 20000 ........ LnL: -64887.3
mcmc iteration: 21000 ........ LnL: -64722.5
mcmc iteration: 22000 ........ LnL: -64523.3
mcmc iteration: 23000 ........ LnL: -64691.4
mcmc iteration: 24000 ........ LnL: -64939.2
mcmc iteration: 25000 ........ LnL: -64719.8
mcmc iteration: 26000 ........ LnL: -64626.2
mcmc iteration: 27000 ........ LnL: -64580.8
mcmc iteration: 28000 ........ LnL: -64552.1
mcmc iteration: 29000 ........ LnL: -64756.5
mcmc iteration: 30000 ........ LnL: -64729.4
mcmc iteration: 31000 ........ LnL: -64717.2
mcmc iteration: 32000 ........ LnL: -64580.9
mcmc iteration: 33000 ........ LnL: -64794.4
mcmc iteration: 34000 ........ LnL: -64687.8
mcmc iteration: 35000 ........ LnL: -64903.2
mcmc iteration: 36000 ........ LnL: -64670.3
mcmc iteration: 37000 ........ LnL: -64647.8
mcmc iteration: 38000 ........ LnL: -64612.9
mcmc iteration: 39000 ........ LnL: -64873.2
mcmc iteration: 40000 ........ LnL: -64616.7
mcmc iteration: 41000 ........ LnL: -64665
mcmc iteration: 42000 ........ LnL: -64637.3
mcmc iteration: 43000 ........ LnL: -64497.1
mcmc iteration: 44000 ........ LnL: -64570.9
mcmc iteration: 45000 ........ LnL: -64769.7
mcmc iteration: 46000 ........ LnL: -64669.1
mcmc iteration: 47000 ........ LnL: -64691
mcmc iteration: 48000 ........ LnL: -64744.3
mcmc iteration: 49000 ........ LnL: -64765.7
mcmc iteration: 50000 ........ LnL: -64778.3
mcmc iteration: 51000 ........ LnL: -64708.6
mcmc iteration: 52000 ........ LnL: -64779.1
mcmc iteration: 53000 ........ LnL: -64694.2
mcmc iteration: 54000 ........ LnL: -64873.9
mcmc iteration: 55000 ........ LnL: -64707.2
mcmc iteration: 56000 ........ LnL: -64758.6
